127.0.0.1 - - [04/Jul/2024:16:30:55 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [04/Jul/2024:16:31:16 +0530] "GET /number_game/ HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [04/Jul/2024:16:31:16 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [04/Jul/2024:16:32:08 +0530] "GET /number_game/ HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [04/Jul/2024:16:32:13 +0530] "GET /number_game/GenerateNumberServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2024:16:32:14 +0530] "GET /number_game/game.jsp HTTP/1.1" 200 2130
0:0:0:0:0:0:0:1 - - [04/Jul/2024:16:32:19 +0530] "POST /number_game/GameLogicServlet HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [04/Jul/2024:16:32:22 +0530] "POST /number_game/GameLogicServlet HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [04/Jul/2024:16:32:27 +0530] "POST /number_game/GameLogicServlet HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [04/Jul/2024:16:32:34 +0530] "POST /number_game/GameLogicServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2024:16:32:34 +0530] "GET /number_game/complete.jsp HTTP/1.1" 200 1509
0:0:0:0:0:0:0:1 - - [04/Jul/2024:16:32:37 +0530] "GET /number_game/GenerateNumberServlet? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2024:16:32:37 +0530] "GET /number_game/game.jsp HTTP/1.1" 200 2130
0:0:0:0:0:0:0:1 - - [04/Jul/2024:16:33:48 +0530] "GET /number_game/ HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [04/Jul/2024:16:33:52 +0530] "GET /number_game/GenerateNumberServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2024:16:33:52 +0530] "GET /number_game/game.jsp HTTP/1.1" 200 2130
0:0:0:0:0:0:0:1 - - [04/Jul/2024:16:33:54 +0530] "POST /number_game/GameLogicServlet HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [04/Jul/2024:16:33:58 +0530] "POST /number_game/GameLogicServlet HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [04/Jul/2024:16:34:01 +0530] "POST /number_game/GameLogicServlet HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [04/Jul/2024:16:34:05 +0530] "POST /number_game/GameLogicServlet HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [04/Jul/2024:16:34:08 +0530] "POST /number_game/GameLogicServlet HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [04/Jul/2024:16:34:10 +0530] "POST /number_game/GameLogicServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2024:16:34:10 +0530] "GET /number_game/complete.jsp HTTP/1.1" 200 1509
0:0:0:0:0:0:0:1 - - [04/Jul/2024:16:34:15 +0530] "GET /number_game/GenerateNumberServlet? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2024:16:34:15 +0530] "GET /number_game/game.jsp HTTP/1.1" 200 2130
0:0:0:0:0:0:0:1 - - [04/Jul/2024:16:35:55 +0530] "GET /student_grade_calculator/ HTTP/1.1" 200 2346
0:0:0:0:0:0:0:1 - - [04/Jul/2024:16:36:18 +0530] "POST /student_grade_calculator/CalculatorGradeServlet HTTP/1.1" 200 1259
0:0:0:0:0:0:0:1 - - [04/Jul/2024:16:36:21 +0530] "GET /student_grade_calculator/index.jsp HTTP/1.1" 200 2346
